Row,multiply_type,nr_c,dot_product_length,num_vfops
cmat_mulx_avx_nr_c_2_dot_product_length_2,cmat_mulx_avx,2,2,14
cmat_mulx_avx_nr_c_2_dot_product_length_3,cmat_mulx_avx,2,3,22
cmat_mulx_avx_nr_c_2_dot_product_length_4,cmat_mulx_avx,2,4,30
cmat_mulx_avx_nr_c_2_dot_product_length_5,cmat_mulx_avx,2,5,38
cmat_mulx_avx_nr_c_2_dot_product_length_6,cmat_mulx_avx,2,6,46
cmat_mulx_avx_nr_c_2_dot_product_length_7,cmat_mulx_avx,2,7,54
cmat_mulx_avx_nr_c_2_dot_product_length_8,cmat_mulx_avx,2,8,62
cmat_mulx_avx_nr_c_2_dot_product_length_9,cmat_mulx_avx,2,9,70
cmat_mulx_avx_nr_c_2_dot_product_length_10,cmat_mulx_avx,2,10,78
cmat_mulx_avx_nr_c_2_dot_product_length_11,cmat_mulx_avx,2,11,86
cmat_mulx_avx_nr_c_2_dot_product_length_12,cmat_mulx_avx,2,12,94
cmat_mulx_avx_nr_c_2_dot_product_length_13,cmat_mulx_avx,2,13,102
cmat_mulx_avx_nr_c_2_dot_product_length_14,cmat_mulx_avx,2,14,110
cmat_mulx_avx_nr_c_2_dot_product_length_15,cmat_mulx_avx,2,15,118
cmat_mulx_avx_nr_c_2_dot_product_length_16,cmat_mulx_avx,2,16,126
cmat_mulx_avx_nr_c_2_dot_product_length_17,cmat_mulx_avx,2,17,134
cmat_mulx_avx_nr_c_2_dot_product_length_18,cmat_mulx_avx,2,18,142
cmat_mulx_avx_nr_c_2_dot_product_length_19,cmat_mulx_avx,2,19,150
cmat_mulx_avx_nr_c_2_dot_product_length_20,cmat_mulx_avx,2,20,158
cmat_mulx_avx_nr_c_3_dot_product_length_2,cmat_mulx_avx,3,2,21
cmat_mulx_avx_nr_c_3_dot_product_length_3,cmat_mulx_avx,3,3,33
cmat_mulx_avx_nr_c_3_dot_product_length_4,cmat_mulx_avx,3,4,45
cmat_mulx_avx_nr_c_3_dot_product_length_5,cmat_mulx_avx,3,5,57
cmat_mulx_avx_nr_c_3_dot_product_length_6,cmat_mulx_avx,3,6,69
cmat_mulx_avx_nr_c_3_dot_product_length_7,cmat_mulx_avx,3,7,81
cmat_mulx_avx_nr_c_3_dot_product_length_8,cmat_mulx_avx,3,8,93
cmat_mulx_avx_nr_c_3_dot_product_length_9,cmat_mulx_avx,3,9,105
cmat_mulx_avx_nr_c_3_dot_product_length_10,cmat_mulx_avx,3,10,117
cmat_mulx_avx_nr_c_3_dot_product_length_11,cmat_mulx_avx,3,11,129
cmat_mulx_avx_nr_c_3_dot_product_length_12,cmat_mulx_avx,3,12,141
cmat_mulx_avx_nr_c_3_dot_product_length_13,cmat_mulx_avx,3,13,153
cmat_mulx_avx_nr_c_3_dot_product_length_14,cmat_mulx_avx,3,14,165
cmat_mulx_avx_nr_c_3_dot_product_length_15,cmat_mulx_avx,3,15,177
cmat_mulx_avx_nr_c_3_dot_product_length_16,cmat_mulx_avx,3,16,189
cmat_mulx_avx_nr_c_3_dot_product_length_17,cmat_mulx_avx,3,17,201
cmat_mulx_avx_nr_c_3_dot_product_length_18,cmat_mulx_avx,3,18,213
cmat_mulx_avx_nr_c_3_dot_product_length_19,cmat_mulx_avx,3,19,225
cmat_mulx_avx_nr_c_3_dot_product_length_20,cmat_mulx_avx,3,20,237
cmat_mulx_avx_nr_c_4_dot_product_length_2,cmat_mulx_avx,4,2,28
cmat_mulx_avx_nr_c_4_dot_product_length_3,cmat_mulx_avx,4,3,44
cmat_mulx_avx_nr_c_4_dot_product_length_4,cmat_mulx_avx,4,4,60
cmat_mulx_avx_nr_c_4_dot_product_length_5,cmat_mulx_avx,4,5,76
cmat_mulx_avx_nr_c_4_dot_product_length_6,cmat_mulx_avx,4,6,92
cmat_mulx_avx_nr_c_4_dot_product_length_7,cmat_mulx_avx,4,7,108
cmat_mulx_avx_nr_c_4_dot_product_length_8,cmat_mulx_avx,4,8,124
cmat_mulx_avx_nr_c_4_dot_product_length_9,cmat_mulx_avx,4,9,140
cmat_mulx_avx_nr_c_4_dot_product_length_10,cmat_mulx_avx,4,10,156
cmat_mulx_avx_nr_c_4_dot_product_length_11,cmat_mulx_avx,4,11,172
cmat_mulx_avx_nr_c_4_dot_product_length_12,cmat_mulx_avx,4,12,188
cmat_mulx_avx_nr_c_4_dot_product_length_13,cmat_mulx_avx,4,13,204
cmat_mulx_avx_nr_c_4_dot_product_length_14,cmat_mulx_avx,4,14,220
cmat_mulx_avx_nr_c_4_dot_product_length_15,cmat_mulx_avx,4,15,236
cmat_mulx_avx_nr_c_4_dot_product_length_16,cmat_mulx_avx,4,16,252
cmat_mulx_avx_nr_c_4_dot_product_length_17,cmat_mulx_avx,4,17,268
cmat_mulx_avx_nr_c_4_dot_product_length_18,cmat_mulx_avx,4,18,284
cmat_mulx_avx_nr_c_4_dot_product_length_19,cmat_mulx_avx,4,19,300
cmat_mulx_avx_nr_c_4_dot_product_length_20,cmat_mulx_avx,4,20,316
cmat_mulx_avx_nr_c_5_dot_product_length_2,cmat_mulx_avx,5,2,35
cmat_mulx_avx_nr_c_5_dot_product_length_3,cmat_mulx_avx,5,3,55
cmat_mulx_avx_nr_c_5_dot_product_length_4,cmat_mulx_avx,5,4,75
cmat_mulx_avx_nr_c_5_dot_product_length_5,cmat_mulx_avx,5,5,95
cmat_mulx_avx_nr_c_5_dot_product_length_6,cmat_mulx_avx,5,6,115
cmat_mulx_avx_nr_c_5_dot_product_length_7,cmat_mulx_avx,5,7,135
cmat_mulx_avx_nr_c_5_dot_product_length_8,cmat_mulx_avx,5,8,155
cmat_mulx_avx_nr_c_5_dot_product_length_9,cmat_mulx_avx,5,9,175
cmat_mulx_avx_nr_c_5_dot_product_length_10,cmat_mulx_avx,5,10,195
cmat_mulx_avx_nr_c_5_dot_product_length_11,cmat_mulx_avx,5,11,215
cmat_mulx_avx_nr_c_5_dot_product_length_12,cmat_mulx_avx,5,12,235
cmat_mulx_avx_nr_c_5_dot_product_length_13,cmat_mulx_avx,5,13,255
cmat_mulx_avx_nr_c_5_dot_product_length_14,cmat_mulx_avx,5,14,275
cmat_mulx_avx_nr_c_5_dot_product_length_15,cmat_mulx_avx,5,15,295
cmat_mulx_avx_nr_c_5_dot_product_length_16,cmat_mulx_avx,5,16,315
cmat_mulx_avx_nr_c_5_dot_product_length_17,cmat_mulx_avx,5,17,335
cmat_mulx_avx_nr_c_5_dot_product_length_18,cmat_mulx_avx,5,18,355
cmat_mulx_avx_nr_c_5_dot_product_length_19,cmat_mulx_avx,5,19,375
cmat_mulx_avx_nr_c_5_dot_product_length_20,cmat_mulx_avx,5,20,395
cmat_mulx_avx_nr_c_6_dot_product_length_2,cmat_mulx_avx,6,2,42
cmat_mulx_avx_nr_c_6_dot_product_length_3,cmat_mulx_avx,6,3,66
cmat_mulx_avx_nr_c_6_dot_product_length_4,cmat_mulx_avx,6,4,90
cmat_mulx_avx_nr_c_6_dot_product_length_5,cmat_mulx_avx,6,5,114
cmat_mulx_avx_nr_c_6_dot_product_length_6,cmat_mulx_avx,6,6,138
cmat_mulx_avx_nr_c_6_dot_product_length_7,cmat_mulx_avx,6,7,162
cmat_mulx_avx_nr_c_6_dot_product_length_8,cmat_mulx_avx,6,8,186
cmat_mulx_avx_nr_c_6_dot_product_length_9,cmat_mulx_avx,6,9,210
cmat_mulx_avx_nr_c_6_dot_product_length_10,cmat_mulx_avx,6,10,234
cmat_mulx_avx_nr_c_6_dot_product_length_11,cmat_mulx_avx,6,11,258
cmat_mulx_avx_nr_c_6_dot_product_length_12,cmat_mulx_avx,6,12,282
cmat_mulx_avx_nr_c_6_dot_product_length_13,cmat_mulx_avx,6,13,306
cmat_mulx_avx_nr_c_6_dot_product_length_14,cmat_mulx_avx,6,14,330
cmat_mulx_avx_nr_c_6_dot_product_length_15,cmat_mulx_avx,6,15,354
cmat_mulx_avx_nr_c_6_dot_product_length_16,cmat_mulx_avx,6,16,378
cmat_mulx_avx_nr_c_6_dot_product_length_17,cmat_mulx_avx,6,17,402
cmat_mulx_avx_nr_c_6_dot_product_length_18,cmat_mulx_avx,6,18,426
cmat_mulx_avx_nr_c_6_dot_product_length_19,cmat_mulx_avx,6,19,450
cmat_mulx_avx_nr_c_6_dot_product_length_20,cmat_mulx_avx,6,20,474
cmat_mulx_avx_nr_c_7_dot_product_length_2,cmat_mulx_avx,7,2,49
cmat_mulx_avx_nr_c_7_dot_product_length_3,cmat_mulx_avx,7,3,77
cmat_mulx_avx_nr_c_7_dot_product_length_4,cmat_mulx_avx,7,4,105
cmat_mulx_avx_nr_c_7_dot_product_length_5,cmat_mulx_avx,7,5,133
cmat_mulx_avx_nr_c_7_dot_product_length_6,cmat_mulx_avx,7,6,161
cmat_mulx_avx_nr_c_7_dot_product_length_7,cmat_mulx_avx,7,7,189
cmat_mulx_avx_nr_c_7_dot_product_length_8,cmat_mulx_avx,7,8,217
cmat_mulx_avx_nr_c_7_dot_product_length_9,cmat_mulx_avx,7,9,245
cmat_mulx_avx_nr_c_7_dot_product_length_10,cmat_mulx_avx,7,10,273
cmat_mulx_avx_nr_c_7_dot_product_length_11,cmat_mulx_avx,7,11,301
cmat_mulx_avx_nr_c_7_dot_product_length_12,cmat_mulx_avx,7,12,329
cmat_mulx_avx_nr_c_7_dot_product_length_13,cmat_mulx_avx,7,13,357
cmat_mulx_avx_nr_c_7_dot_product_length_14,cmat_mulx_avx,7,14,385
cmat_mulx_avx_nr_c_7_dot_product_length_15,cmat_mulx_avx,7,15,413
cmat_mulx_avx_nr_c_7_dot_product_length_16,cmat_mulx_avx,7,16,441
cmat_mulx_avx_nr_c_7_dot_product_length_17,cmat_mulx_avx,7,17,469
cmat_mulx_avx_nr_c_7_dot_product_length_18,cmat_mulx_avx,7,18,497
cmat_mulx_avx_nr_c_7_dot_product_length_19,cmat_mulx_avx,7,19,525
cmat_mulx_avx_nr_c_7_dot_product_length_20,cmat_mulx_avx,7,20,553
cmat_mulx_avx_nr_c_8_dot_product_length_2,cmat_mulx_avx,8,2,56
cmat_mulx_avx_nr_c_8_dot_product_length_3,cmat_mulx_avx,8,3,88
cmat_mulx_avx_nr_c_8_dot_product_length_4,cmat_mulx_avx,8,4,120
cmat_mulx_avx_nr_c_8_dot_product_length_5,cmat_mulx_avx,8,5,152
cmat_mulx_avx_nr_c_8_dot_product_length_6,cmat_mulx_avx,8,6,184
cmat_mulx_avx_nr_c_8_dot_product_length_7,cmat_mulx_avx,8,7,216
cmat_mulx_avx_nr_c_8_dot_product_length_8,cmat_mulx_avx,8,8,248
cmat_mulx_avx_nr_c_8_dot_product_length_9,cmat_mulx_avx,8,9,280
cmat_mulx_avx_nr_c_8_dot_product_length_10,cmat_mulx_avx,8,10,312
cmat_mulx_avx_nr_c_8_dot_product_length_11,cmat_mulx_avx,8,11,344
cmat_mulx_avx_nr_c_8_dot_product_length_12,cmat_mulx_avx,8,12,376
cmat_mulx_avx_nr_c_8_dot_product_length_13,cmat_mulx_avx,8,13,408
cmat_mulx_avx_nr_c_8_dot_product_length_14,cmat_mulx_avx,8,14,440
cmat_mulx_avx_nr_c_8_dot_product_length_15,cmat_mulx_avx,8,15,472
cmat_mulx_avx_nr_c_8_dot_product_length_16,cmat_mulx_avx,8,16,504
cmat_mulx_avx_nr_c_8_dot_product_length_17,cmat_mulx_avx,8,17,536
cmat_mulx_avx_nr_c_8_dot_product_length_18,cmat_mulx_avx,8,18,568
cmat_mulx_avx_nr_c_8_dot_product_length_19,cmat_mulx_avx,8,19,600
cmat_mulx_avx_nr_c_8_dot_product_length_20,cmat_mulx_avx,8,20,632
cmat_mulx_avx_nr_c_9_dot_product_length_2,cmat_mulx_avx,9,2,63
cmat_mulx_avx_nr_c_9_dot_product_length_3,cmat_mulx_avx,9,3,99
cmat_mulx_avx_nr_c_9_dot_product_length_4,cmat_mulx_avx,9,4,135
cmat_mulx_avx_nr_c_9_dot_product_length_5,cmat_mulx_avx,9,5,171
cmat_mulx_avx_nr_c_9_dot_product_length_6,cmat_mulx_avx,9,6,207
cmat_mulx_avx_nr_c_9_dot_product_length_7,cmat_mulx_avx,9,7,243
cmat_mulx_avx_nr_c_9_dot_product_length_8,cmat_mulx_avx,9,8,279
cmat_mulx_avx_nr_c_9_dot_product_length_9,cmat_mulx_avx,9,9,315
cmat_mulx_avx_nr_c_9_dot_product_length_10,cmat_mulx_avx,9,10,351
cmat_mulx_avx_nr_c_9_dot_product_length_11,cmat_mulx_avx,9,11,387
cmat_mulx_avx_nr_c_9_dot_product_length_12,cmat_mulx_avx,9,12,423
cmat_mulx_avx_nr_c_9_dot_product_length_13,cmat_mulx_avx,9,13,459
cmat_mulx_avx_nr_c_9_dot_product_length_14,cmat_mulx_avx,9,14,495
cmat_mulx_avx_nr_c_9_dot_product_length_15,cmat_mulx_avx,9,15,531
cmat_mulx_avx_nr_c_9_dot_product_length_16,cmat_mulx_avx,9,16,567
cmat_mulx_avx_nr_c_9_dot_product_length_17,cmat_mulx_avx,9,17,603
cmat_mulx_avx_nr_c_9_dot_product_length_18,cmat_mulx_avx,9,18,639
cmat_mulx_avx_nr_c_9_dot_product_length_19,cmat_mulx_avx,9,19,675
cmat_mulx_avx_nr_c_9_dot_product_length_20,cmat_mulx_avx,9,20,711
cmat_mulx_avx_nr_c_10_dot_product_length_2,cmat_mulx_avx,10,2,70
cmat_mulx_avx_nr_c_10_dot_product_length_3,cmat_mulx_avx,10,3,110
cmat_mulx_avx_nr_c_10_dot_product_length_4,cmat_mulx_avx,10,4,150
cmat_mulx_avx_nr_c_10_dot_product_length_5,cmat_mulx_avx,10,5,190
cmat_mulx_avx_nr_c_10_dot_product_length_6,cmat_mulx_avx,10,6,230
cmat_mulx_avx_nr_c_10_dot_product_length_7,cmat_mulx_avx,10,7,270
cmat_mulx_avx_nr_c_10_dot_product_length_8,cmat_mulx_avx,10,8,310
cmat_mulx_avx_nr_c_10_dot_product_length_9,cmat_mulx_avx,10,9,350
cmat_mulx_avx_nr_c_10_dot_product_length_10,cmat_mulx_avx,10,10,390
cmat_mulx_avx_nr_c_10_dot_product_length_11,cmat_mulx_avx,10,11,430
cmat_mulx_avx_nr_c_10_dot_product_length_12,cmat_mulx_avx,10,12,470
cmat_mulx_avx_nr_c_10_dot_product_length_13,cmat_mulx_avx,10,13,510
cmat_mulx_avx_nr_c_10_dot_product_length_14,cmat_mulx_avx,10,14,550
cmat_mulx_avx_nr_c_10_dot_product_length_15,cmat_mulx_avx,10,15,590
cmat_mulx_avx_nr_c_10_dot_product_length_16,cmat_mulx_avx,10,16,630
cmat_mulx_avx_nr_c_10_dot_product_length_17,cmat_mulx_avx,10,17,670
cmat_mulx_avx_nr_c_10_dot_product_length_18,cmat_mulx_avx,10,18,710
cmat_mulx_avx_nr_c_10_dot_product_length_19,cmat_mulx_avx,10,19,750
cmat_mulx_avx_nr_c_10_dot_product_length_20,cmat_mulx_avx,10,20,790
cmat_mulx_avx_nr_c_11_dot_product_length_2,cmat_mulx_avx,11,2,77
cmat_mulx_avx_nr_c_11_dot_product_length_3,cmat_mulx_avx,11,3,121
cmat_mulx_avx_nr_c_11_dot_product_length_4,cmat_mulx_avx,11,4,165
cmat_mulx_avx_nr_c_11_dot_product_length_5,cmat_mulx_avx,11,5,209
cmat_mulx_avx_nr_c_11_dot_product_length_6,cmat_mulx_avx,11,6,253
cmat_mulx_avx_nr_c_11_dot_product_length_7,cmat_mulx_avx,11,7,297
cmat_mulx_avx_nr_c_11_dot_product_length_8,cmat_mulx_avx,11,8,341
cmat_mulx_avx_nr_c_11_dot_product_length_9,cmat_mulx_avx,11,9,385
cmat_mulx_avx_nr_c_11_dot_product_length_10,cmat_mulx_avx,11,10,429
cmat_mulx_avx_nr_c_11_dot_product_length_11,cmat_mulx_avx,11,11,473
cmat_mulx_avx_nr_c_11_dot_product_length_12,cmat_mulx_avx,11,12,517
cmat_mulx_avx_nr_c_11_dot_product_length_13,cmat_mulx_avx,11,13,561
cmat_mulx_avx_nr_c_11_dot_product_length_14,cmat_mulx_avx,11,14,605
cmat_mulx_avx_nr_c_11_dot_product_length_15,cmat_mulx_avx,11,15,649
cmat_mulx_avx_nr_c_11_dot_product_length_16,cmat_mulx_avx,11,16,693
cmat_mulx_avx_nr_c_11_dot_product_length_17,cmat_mulx_avx,11,17,737
cmat_mulx_avx_nr_c_11_dot_product_length_18,cmat_mulx_avx,11,18,781
cmat_mulx_avx_nr_c_11_dot_product_length_19,cmat_mulx_avx,11,19,825
cmat_mulx_avx_nr_c_11_dot_product_length_20,cmat_mulx_avx,11,20,869
cmat_mulx_avx_nr_c_12_dot_product_length_2,cmat_mulx_avx,12,2,84
cmat_mulx_avx_nr_c_12_dot_product_length_3,cmat_mulx_avx,12,3,132
cmat_mulx_avx_nr_c_12_dot_product_length_4,cmat_mulx_avx,12,4,180
cmat_mulx_avx_nr_c_12_dot_product_length_5,cmat_mulx_avx,12,5,228
